"dyad_id","initiator_country","initiator_alpha_2","receiver_country","receiver_country_alpha_2_code","incident_id","name","description","start_date","end_date","source_disclosure","operation_type","impact_indicator_score","impact_indicator_label","unweighted_intensity","weighted_intensity","number_attributions","number_political_responses","number_legal_responses","casualties","attribution_id","initiator_name","initiator_category","initiator_subcategory","receiver_id","receiver_name","receiver_category","receiver_subcategory","receiver_regions","offline_conflict_issue","offline_conflict_name","offline_conflict_intensity","offline_conflict_intensity_subcode","cyber_conflict_issue","physical_effects_spatial","physical_effects_temporal","target_multiplier","functional_impact","intelligence_impact","economic_impact","economic_impact_value","economic_impact_currency","affected_entities","affected_entities_value","affected_eu_countries","affected_eu_countries_value","affected_third_countries","affected_third_countries_value","Data theft","Data theft & Doxing","Disruption","Hijacking with Misuse","Hijacking without Misuse","Not available","Ransomware","added_to_db","updated_at"
0,"Afghanistan","AF","Afghanistan","AF",4278,"TalibLeaks Hacked and Leaked Documents from Taliban Government Ministries and Agencies in Afghanistan on 7 February 2025","On 7 February 2025, a group of hackers, calling themselves TalibLeaks, carried out a massive cyber attack against the Taliban government of Afghanistan's computer systems. They published over 50GB of stolen documents and files online. The leaked records included claims that the Taliban had imprisoned over 1400 women and 16,000 men. Approximately 80 foreign nationals were also said to be being held in Taliban prisons. The leak came from 21 Taliban ministries and government agencies, including the Afghan Food & Drug Administration, Afghan Telecom Regulatory Authority, and the Ministry of Justice. The hackers stated that all files were taken in the past 12 months from compromised Taliban government networks. The Taliban's Ministry of Communications confirmed the leak, but claimed that most files had been publicly accessible for years and that no systems had been hacked. The hackers posted a note on Twitter, stating 'GDPR does not apply in Afghanistan, just like there are no women's rights.' The leak was reported on 7 February 2025.","2024-01-01 00:00:00","2025-02-07 00:00:00","Incident disclosed by attacker","Hack and leak",0,"Not available",0,0,1,1,0,"Not available","25364","TalibLeaks","Unknown","Not available","7867_0","['21 Taliban ministries and government agencies.']","['State institutions / political system']","['Government / ministries']","['ASIA', 'SASIA']","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",0,"euro","Not available",0,"Not available","Not available","Not available",0,0,1,0,1,0,0,0,"2025-02-10","2025-02-12"
1,"Afghanistan","AF","Pakistan","PK",488,"Afghan Cyber Army attack on Pakistan","Afghan hackers deface six Pakistani government websites, leaving messages that accuse Pakistan of having orchestrated a suicide bombing in Kabul.","2013-07-11 00:00:00","2013-07-11 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","589","Afghan Cyber Army","Non-state-group","Hacktivist(s)","826_0","['Not available']","['State institutions / political system']","['Government / ministries']","['ASIA', 'SASIA', 'SCO']","Third-party intervention / third-party affection","Not available","Yes / HIIK intensity","HIIK 3","International power","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
1,"Afghanistan","AF","Pakistan","PK",499,"Afghan Cyber Army attack on Pakistan Part II","Afghan hackers hack the webpage of the Pakistani National Database and Registration Authority in retaliation against airstrikes in Kunar and Jalalabad.","2013-08-03 00:00:00","2013-08-03 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",1,1,1,0,0,"Not available","602","Afghan Cyber Army","Non-state-group","Hacktivist(s)","837_0","['Not available']","['State institutions / political system']","['Civil service / administration']","['ASIA', 'SASIA', 'SCO']","Third-party intervention / third-party affection","Not available","Yes / HIIK intensity","HIIK 3","Territory","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
2,"Algeria","DZ","Algeria","DZ",525,"Over-X vs. Algerian ministry of housing","Algerian hacker Over-X hacks and defaces Algerian ministry of housing and urban planning over corruption and lack of housing, jobs.","2013-10-21 00:00:00","2013-10-21 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","628","Over-X","Individual hacker(s)","Not available","864_0","['Not available']","['State institutions / political system']","['Government / ministries']","['AFRICA', 'NAF', 'MENA']","National power","Not available","Yes / HIIK intensity","HIIK 3","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
2,"Algeria","DZ","Algeria","DZ",1183,"North African Fox Espionage campaign","The algerian hacking group ""North African Fox"" targets military entities in Arab countries.","2018-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",0,"Not available",3,3,1,0,0,"Not available","1396","APT-C-44/North African Fox","State","Not available","1904_0","['Not available']","['State institutions / political system']","['Military']","['AFRICA', 'NAF', 'MENA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,1,0,0,1,0,0,0,"2022-08-15","2022-11-02"
3,"Algeria","DZ","France","FR",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1373_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['EUROPE', 'NATO', 'EU', 'WESTEU']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
4,"Algeria","DZ","Israel","IL",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1374_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['ASIA', 'MENA', 'MEA']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
5,"Algeria","DZ","Jordan","JO",1183,"North African Fox Espionage campaign","The algerian hacking group ""North African Fox"" targets military entities in Arab countries.","2018-10-01 00:00:00","Not available","Incident disclosed by IT-security company","Data theft",0,"Not available",3,3,1,0,0,"Not available","1396","APT-C-44/North African Fox","State","Not available","1903_0","['Not available']","['State institutions / political system']","['Military']","['ASIA', 'MENA', 'MEA']","Unknown","Not available","Unknown","Not available","Unknown","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,1,0,0,1,0,0,0,"2022-08-15","2022-11-02"
6,"Algeria","DZ","United Kingdom","GB",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1375_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['EUROPE', 'NATO', 'EU', 'NORTHEU']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
7,"Algeria","DZ","United States","US",866,"TeamSystemDz defacement of western websites","Pro-ISIS Algerian-based TeamSystemDz defaced 88 websites from the US, France, Israel and the UK. In particular, it defaced several websites in Richland County.","2016-04-14 00:00:00","2016-04-17 00:00:00","Incident disclosed by attacker","DDoS/Defacement",0,"Not available",2,2,1,0,0,"Not available","1026","Team System Dz","Non-state-group","Terrorist(s)","1372_2","['Not available']","['Critical infrastructure', 'State institutions / political system']","['Government / ministries', 'Health', 'Civil service / administration']","['NATO', 'NORTHAM']","Unknown","Not available","Unknown","Not available","System / ideology","Not available","Not available","Moderate - high political importance","Not available","Not available","Not available",0,"Not available","Not available",0,"Not available","Not available","Not available",0,0,0,1,0,0,0,0,"2022-08-15","2022-11-02"
